"tick","Human Count","Zombie Count"
1.0,100,5
2.0,100,5
3.0,99,6
4.0,99,6
5.0,99,6
6.0,99,6
7.0,99,6
8.0,99,6
9.0,99,6
10.0,99,6
11.0,99,6
12.0,98,7
13.0,98,7
14.0,98,7
15.0,98,7
16.0,98,7
17.0,98,7
18.0,98,7
19.0,98,7
20.0,98,7
21.0,98,7
22.0,98,7
23.0,98,7
24.0,98,7
25.0,98,7
26.0,98,7
27.0,98,7
28.0,98,7
29.0,98,7
30.0,98,7
31.0,98,7
32.0,98,7
33.0,98,7
34.0,98,7
35.0,98,7
36.0,98,7
37.0,98,7
38.0,98,7
39.0,98,7
40.0,98,7
41.0,98,7
42.0,98,7
43.0,98,7
44.0,98,7
45.0,98,7
46.0,98,7
47.0,98,7
48.0,98,7
49.0,98,7
50.0,98,7
51.0,97,8
52.0,97,8
53.0,97,8
54.0,97,8
55.0,97,8
56.0,97,8
57.0,97,8
58.0,97,8
59.0,97,8
60.0,97,8
61.0,97,8
62.0,97,8
63.0,97,8
64.0,97,8
65.0,97,8
66.0,95,10
67.0,95,10
68.0,95,10
69.0,95,10
70.0,95,10
71.0,95,10
72.0,95,10
73.0,95,10
74.0,95,10
75.0,95,10
76.0,95,10
77.0,95,10
78.0,95,10
79.0,95,10
80.0,95,10
81.0,95,10
82.0,95,10
83.0,95,10
84.0,94,11
85.0,94,11
86.0,94,11
87.0,93,12
88.0,92,13
89.0,92,13
90.0,92,13
91.0,92,13
92.0,92,13
93.0,92,13
94.0,92,13
95.0,91,14
96.0,91,14
97.0,91,14
98.0,91,14
99.0,91,14
100.0,90,15
